variable,worksheet,line,column
facility_name,S000001,100,100
non_medicare_sessions,S100000,100,100
non_medicare_sessions_indirect,S100000,200,100
avg_weekly_sessions,S100000,400,100
avg_days_open_per_week,S100000,500,100
avg_session_time,S100000,600,100
num_machines_regular,S100000,700,100
num_machines_standby,S100000,800,100
dialyzer_type,S100000,1200,100
dialyser_reuse_times,S100000,1200,200
epo_total,S100000,1400,100
epo_cost,A000000,2300,600
epo_rebates,A200000,1500,200
epo_net_cost,A200000,1600,200
chain_indicator,S000001,900,100
chain_identity,S000001,901,100
prvdr_num,S000001,200,100
ever_hospital_based,S000001,800,100
certification_date,S000001,300,100
report_start_date,S000001,500,100
report_end_date,S000001,500,200
total_treatments_hd,C000010,100,100
total_costs_hd_housekeeping,B000000,700,200
total_costs_hd_machines,B000000,700,300
total_costs_hd_salaries,B000000,700,400
total_costs_hd_benefits,B000000,700,500
total_costs_hd_drugs,B000000,700,600
total_costs_hd_supplies,B000000,700,700
total_costs_hd_labs,B000000,700,800
total_costs_hd_other,B000000,700,1000
supplies,B000000,300,700
lab_services,B000000,400,800
total_treatments_pd,C000010,200,100
state,S000001,102,200
zip_code,S000001,102,300
